run	t_period
5.600000000000000e+01	1.001926e+00
5.700000000000000e+01	9.826934e-01
5.800000000000000e+01	9.507281e-01
5.900000000000000e+01	9.647327e-01
6.000000000000000e+01	9.870272e-01
6.100000000000000e+01	9.682389e-01
6.200000000000000e+01	9.487396e-01
6.300000000000000e+01	9.703000e-01
6.400000000000000e+01	9.777914e-01
6.500000000000000e+01	1.002607e+00
6.600000000000000e+01	1.041565e+00
6.700000000000000e+01	9.771311e-01
6.800000000000000e+01	9.693014e-01
6.900000000000000e+01	9.633867e-01
7.000000000000000e+01	1.010828e+00
7.100000000000000e+01	1.009257e+00
7.200000000000000e+01	1.032742e+00
7.300000000000000e+01	9.925807e-01
7.400000000000000e+01	1.002386e+00
7.500000000000000e+01	1.012401e+00
7.600000000000000e+01	1.004885e+00
7.700000000000000e+01	9.712473e-01
7.800000000000000e+01	9.657894e-01
7.900000000000000e+01	1.001997e+00
8.000000000000000e+01	9.907579e-01
8.100000000000000e+01	1.005677e+00
8.200000000000000e+01	1.027426e+00
8.300000000000000e+01	9.913468e-01
8.400000000000000e+01	9.745223e-01
8.500000000000000e+01	1.023442e+00
8.600000000000000e+01	9.883080e-01
8.700000000000000e+01	1.005031e+00
8.800000000000000e+01	9.973952e-01
8.900000000000000e+01	9.709798e-01
9.000000000000000e+01	1.029435e+00
9.100000000000000e+01	9.479961e-01
9.200000000000000e+01	1.005568e+00
9.300000000000000e+01	9.639266e-01
9.400000000000000e+01	1.018475e+00
9.500000000000000e+01	9.856085e-01
9.600000000000000e+01	9.538573e-01
9.700000000000000e+01	1.033413e+00
9.800000000000000e+01	9.869290e-01
9.900000000000000e+01	1.005195e+00
1.000000000000000e+02	9.953301e-01
1.010000000000000e+02	1.021483e+00
1.020000000000000e+02	9.525971e-01
1.030000000000000e+02	9.744002e-01
1.040000000000000e+02	1.013637e+00
1.050000000000000e+02	1.013847e+00
1.060000000000000e+02	1.008805e+00
1.070000000000000e+02	9.687344e-01
1.080000000000000e+02	9.521618e-01
1.090000000000000e+02	1.011565e+00
1.100000000000000e+02	9.989647e-01
1.110000000000000e+02	1.040038e+00
1.120000000000000e+02	9.836406e-01
1.130000000000000e+02	1.043782e+00
1.140000000000000e+02	9.439838e-01
1.150000000000000e+02	9.615962e-01
1.160000000000000e+02	9.820272e-01
1.170000000000000e+02	9.749859e-01
1.180000000000000e+02	1.020947e+00
1.190000000000000e+02	1.005677e+00
1.200000000000000e+02	1.048878e+00
1.210000000000000e+02	9.496377e-01
1.220000000000000e+02	1.007190e+00
1.230000000000000e+02	1.034744e+00
1.240000000000000e+02	9.512413e-01
1.250000000000000e+02	9.425998e-01
1.260000000000000e+02	9.775330e-01
1.270000000000000e+02	1.030230e+00
1.280000000000000e+02	1.044045e+00
1.290000000000000e+02	9.632463e-01
1.300000000000000e+02	1.031783e+00
1.310000000000000e+02	1.000425e+00
1.320000000000000e+02	9.843593e-01
1.330000000000000e+02	1.046637e+00
1.340000000000000e+02	9.493492e-01
1.350000000000000e+02	9.536640e-01
1.360000000000000e+02	1.009087e+00
1.370000000000000e+02	1.028849e+00
1.380000000000000e+02	9.725854e-01
1.390000000000000e+02	9.990732e-01
1.400000000000000e+02	1.010120e+00
1.410000000000000e+02	1.021796e+00
1.420000000000000e+02	1.032980e+00
1.430000000000000e+02	9.563244e-01
1.440000000000000e+02	1.010855e+00
1.450000000000000e+02	1.035253e+00
1.460000000000000e+02	1.025905e+00
1.470000000000000e+02	1.011930e+00
1.480000000000000e+02	9.919505e-01
1.490000000000000e+02	9.649029e-01
1.500000000000000e+02	9.608486e-01
1.510000000000000e+02	9.563041e-01
1.520000000000000e+02	9.521056e-01
