time	V(vout)
Step Information: Run=0  (Step: 1/9)
1.021397890309644e-05	1.684165e+00
1.121397890309644e-05	1.849085e+00
1.621397890309644e-05	2.673680e+00
1.721397890309644e-05	2.838600e+00
1.999999999699662e-05	3.298068e+00
2.040393414633538e-05	3.298080e+00
2.121180244501289e-05	3.298085e+00
2.282753904236792e-05	3.298084e+00
2.474183054237460e-05	3.298084e+00
2.857041354238794e-05	3.298084e+00
3.622757954241463e-05	3.298084e+00
5.154191154246800e-05	3.298085e+00
8.217057554257473e-05	3.298085e+00
1.434279035427882e-04	3.298085e+00
2.659425595432152e-04	3.298085e+00
5.109718715440692e-04	3.298086e+00
1.001030495545777e-03	3.298088e+00
1.981147743549193e-03	3.298091e+00
3.941382239556025e-03	3.298098e+00
6.871069739556025e-03	3.298109e+00
9.800757239556025e-03	3.298119e+00
1.273044473955602e-02	3.298129e+00
1.566013223955602e-02	3.298139e+00
1.858981973955602e-02	3.298149e+00
2.151950723955602e-02	3.298159e+00
2.444919473955602e-02	3.298169e+00
2.737888223955602e-02	3.298179e+00
3.030856973955602e-02	3.298188e+00
3.323825723955602e-02	3.298198e+00
3.616794473955602e-02	3.298208e+00
3.909763223955602e-02	3.298217e+00
4.202731973955602e-02	3.298226e+00
4.495700723955602e-02	3.298236e+00
4.788669473955602e-02	3.298245e+00
5.081638223955602e-02	3.298254e+00
5.374606973955602e-02	3.298263e+00
5.667575723955602e-02	3.298272e+00
5.960544473955602e-02	3.298281e+00
6.253513223955603e-02	3.298290e+00
6.546481973955603e-02	3.298299e+00
6.839450723955603e-02	3.298308e+00
7.132419473955603e-02	3.298317e+00
7.425388223955603e-02	3.298326e+00
7.718356973955603e-02	3.298334e+00
8.011325723955603e-02	3.298343e+00
8.304294473955603e-02	3.298351e+00
8.597263223955603e-02	3.298360e+00
8.890231973955603e-02	3.298368e+00
9.183200723955603e-02	3.298377e+00
9.476169473955603e-02	3.298385e+00
9.769138223955603e-02	3.298393e+00
